Results SA with T = 25, r = 10,  ? = 0,4 and MILP limited to 1800s;;;;;;Results SA with T=25, r=10,  ?=0,4 and MILP limited to 1800s;;;
;Results MILP;;Results SA;;;;Make-span;;
Instance;Make-span;Run-time (s);Make-span ;Run-time (s);;Instance;Results MILP;Results SA;Difference
0;22;1800;25;3,8;;0;22;25;-14%
1;33;1800;42;5,7;;1;33;42;-27%
2;43;1800;60;8,9;;2;43;60;-40%
3;55;1800;74;11,1;;3;55;74;-35%
4;71;1800;87;14,9;;4;71;87;-23%
5;87;1800;98;20;;5;87;98;-13%
6;100;1800;117;23,8;;6;100;117;-17%
7;109;1800;129;29,4;;7;109;129;-18%
8;128;1800;138;36,7;;8;128;138;-8%
9;138;1800;151;44,1;;9;138;151;-9%
10;156;1800;166;52,3;;10;156;166;-6%
11;178;1800;185;63,2;;11;178;185;-4%
12;192;1800;190;72,5;;12;192;190;1%
13;231;1800;210;89,2;;13;231;210;9%
14;275;1800;225;109,1;;14;275;225;18%
15;320;1800;239;124,3;;15;320;239;25%
16;Not Found;1800;246;139,5;;16;Not Found;246;100%
17;Not Found;1800;259;162,3;;17;Not Found;259;100%
18;Not Found;1800;273;191,4;;18;Not Found;273;100%
19;Not Found;1800;285;224,3;;19;Not Found;285;100%
